ETS,Rec
0.13044639,0.934487
0.09007125,0.455341
0.039216902,0.110678
0.04089526,0.174215
0.136439986,1.207988
0.049757396,0.629768
0.037746116,0.246643
0.036199123,0.151835
0.111588719,0.339304
0.078250244,0.541403
0.037923552,0.164495
0.033366456,0.147114
0.084089618,0.589405
0.07772464,0.726949
0.03024131,0.177643
0.038254651,0.243472
0.095691083,0.359073
0.055006924,0.550236
0.026948563,0.129737
0.044324348,0.253114
0.041922574,0.232938
0.038579652,0.508759
0.0361128,0.75601
0.029382426,0.08589
0.040007858,0.301286
0.111968852,1.897353
0.13198269,0.244207
0.020348196,0.265626
0.057360762,0.436545
0.269623043,0.623893
0.052416375,0.755199
0.021014073,0.28587
0.062950056,0.355873
0.111822779,1.256351
0.05969519,1.011019
0.040149816,0.128655
0.074938867,0.561822
0.183960578,0.435662
0.333468944,0.991341
0.038804967,0.222259
0.09335648,0.950691
0.094400092,0.33631
0.097430318,0.868186
0.087719587,0.309831
0.123065442,0.682058
0.087823748,0.183884
0.309650145,0.811978
0.051692367,0.125173
0.183079154,0.637924
0.125994758,0.174462
0.346743692,0.717671
0.138039585,0.287128
0.321646054,0.248328
0.077968051,0.049127
0.086601312,0.245745
0.174720513,0.011524
0.145702391,0.471935
0.03884832,0.136714239
0.137964847,0.273971835
0.027444474,0.198980761
0.196091161,1.536901113
